"class","class_id","department","fiscal_year","fund","minor_class","minor_class_id","total"
"Contributions, Indemnities, Refunds, Taxes","5","Art Museum","2016","General Operating Fund","Contributions-gov & Non-prof Not Ed","517","2550000"
"Personal Services","1","Director of Finance","2016","General Operating Fund","Salary Control","100","39025"
"Personal Services","1","Director of Finance","2016","General Operating Fund","Perm Full Time-civilian","101","8623513"
"Personal Services","1","Director of Finance","2016","General Operating Fund","Perm Part Time","111","28123"
"Personal Services","1","Director of Finance","2016","General Operating Fund","Temporary Seasonal","121","33045"
"Personal Services","1","Director of Finance","2016","General Operating Fund","Board","131","45000"
"Personal Services","1","Director of Finance","2016","General Operating Fund","Overtime Civilian","161","32649"
"Personal Services","1","Director of Finance","2016","General Operating Fund","Holiday ""g""(2/3 Shifts)","171","565"
"Personal Services","1","Finance - Employee Benefits","2016","General Operating Fund","Flex Cash","186","800000"
"Personal Services","1","Finance - Employee Benefits","2016","General Operating Fund","Worker's Comp-disability Comp","187","32867982"
"Personal Services","1","Finance - Employee Benefits","2016","General Operating Fund","Worker's Comp-medical","188","25220818"
"Personal Services","1","Finance - Employee Benefits","2016","General Operating Fund","Medicare Tax","189","21608703"
"Personal Services","1","Finance - Employee Benefits","2016","General Operating Fund","Pension-obligation Bond Payments","190","113270454"
"Personal Services","1","Finance - Employee Benefits","2016","General Operating Fund","Pension","191","498430800"
"Personal Services","1","Finance - Employee Benefits","2016","General Operating Fund","FICA Taxes","192","50822751"
"Personal Services","1","Finance - Employee Benefits","2016","General Operating Fund","Medical Health & Welfare Credit","193","411484132"
"Personal Services","1","Finance - Employee Benefits","2016","General Operating Fund","Group Life Insurance","194","8100386"
"Personal Services","1","Finance - Employee Benefits","2016","General Operating Fund","Group Legal Insurance","195","4849842"
"Personal Services","1","Finance - Employee Benefits","2016","General Operating Fund","Unemployment Comp Insurance","196","4580260"
"Personal Services","1","Finance - Employee Benefits","2016","General Operating Fund","Auto Mechanic Tool Insurance","197","146267"
"Purchase of Services","2","Director of Finance","2016","General Operating Fund","Postage","210","3073"
"Purchase of Services","2","Director of Finance","2016","General Operating Fund","Transportation","211","3000"
"Purchase of Services","2","Director of Finance","2016","General Operating Fund","Meals-non-travel & Officl Entertain","230","66102"
"Purchase of Services","2","Director of Finance","2016","General Operating Fund","Advertising/promotional Activities","240","46"
"Purchase of Services","2","Director of Finance","2016","General Operating Fund","Professional Consult/spec Services","250","1721975"
"Purchase of Services","2","Director of Finance","2016","General Operating Fund","Information Technology-prof Service","251","1412500"
"Purchase of Services","2","Director of Finance","2016","General Operating Fund","Accounting and Auditing Services","252","45000"
"Purchase of Services","2","Director of Finance","2016","General Operating Fund","Dues","255","91946"
"Purchase of Services","2","Director of Finance","2016","General Operating Fund","Seminar and Training Sessions","256","2759"
"Purchase of Services","2","Director of Finance","2016","General Operating Fund","Court Reporters","258","15849"
"Purchase of Services","2","Director of Finance","2016","General Operating Fund","Repair and Maintenance Charges","260","13645"
"Purchase of Services","2","Director of Finance","2016","General Operating Fund","Maint/support-computr Hardware/soft","266","29901"
"Purchase of Services","2","Director of Finance","2016","General Operating Fund","Witness Fees","277","171518"
"Purchase of Services","2","Director of Finance","2016","General Operating Fund","Insurance and Official Bonds","280","796900"
"Purchase of Services","2","Director of Finance","2016","General Operating Fund","Rents","285","3940"
"Purchase of Services","2","Director of Finance","2016","General Operating Fund","Rental of Parking Spaces","286","1000"
"Purchase of Services","2","Director of Finance","2016","General Operating Fund","Payments for Burials and Graves","298","161345"
"Purchase of Services","2","Director of Finance","2016","General Operating Fund","Other Expenses (not Othrwse Clssfd)","299","1980"
"Materials and Supplies","3","Director of Finance","2016","General Operating Fund","Books and Other Publications","304","14731"
"Materials and Supplies","3","Director of Finance","2016","General Operating Fund","Office Materials and Supplies","320","47078"
"Materials and Supplies","3","Director of Finance","2016","General Operating Fund","Precision, Photographic and Artists","324","5734"
"Materials and Supplies","3","Director of Finance","2016","General Operating Fund","Printing","325","27615"
"Equipment","4","Director of Finance","2016","General Operating Fund","Office Equipment","420","15616"
"Contributions, Indemnities, Refunds, Taxes","5","Director of Finance","2016","General Operating Fund","Meritorious Awards","504","25000"
"Contributions, Indemnities, Refunds, Taxes","5","Director of Finance","2016","General Operating Fund","Contributions-ed & Non-prof Rec Org","505","109493880"
"Contributions, Indemnities, Refunds, Taxes","5","Director of Finance","2016","General Operating Fund","Refunds","512","250000"
"Contributions, Indemnities, Refunds, Taxes","5","Director of Finance","2016","General Operating Fund","Indemnities-interdepartmental Trans","513","38000000"
"Contributions, Indemnities, Refunds, Taxes","5","Director of Finance","2016","General Operating Fund","Contributions-gov & Non-prof Not Ed","517","4375000"
"Personal Services","1","Revenue","2016","General Operating Fund","Salary Control","100","204500"
"Personal Services","1","Revenue","2016","General Operating Fund","Perm Full Time-civilian","101","17953438"
"Personal Services","1","Revenue","2016","General Operating Fund","Temporary Seasonal","121","833000"
"Personal Services","1","Revenue","2016","General Operating Fund","Overtime Civilian","161","612825"
"Personal Services","1","Revenue","2016","General Operating Fund","Holiday ""g""(2/3 Shifts)","171","9000"
"Personal Services","1","Revenue","2016","General Operating Fund","Shift","181","4801"
"Purchase of Services","2","Revenue","2016","General Operating Fund","Telephone","209","675"
"Purchase of Services","2","Revenue","2016","General Operating Fund","Postage","210","2319769"
"Purchase of Services","2","Revenue","2016","General Operating Fund","Transportation","211","12680"
"Purchase of Services","2","Revenue","2016","General Operating Fund","Commercial Off-shelf Comp Software","216","835"
"Purchase of Services","2","Revenue","2016","General Operating Fund","Meals-non-travel & Officl Entertain","230","650"
"Purchase of Services","2","Revenue","2016","General Operating Fund","Advertising/promotional Activities","240","300"
"Purchase of Services","2","Revenue","2016","General Operating Fund","Professional Consult/spec Services","250","2774560"
"Purchase of Services","2","Revenue","2016","General Operating Fund","Information Technology-prof Service","251","43000"
"Purchase of Services","2","Revenue","2016","General Operating Fund","Legal Services","253","5700"
"Purchase of Services","2","Revenue","2016","General Operating Fund","Dues","255","19775"
"Purchase of Services","2","Revenue","2016","General Operating Fund","Seminar and Training Sessions","256","6510"
"Purchase of Services","2","Revenue","2016","General Operating Fund","Court Reporters","258","2000"
"Purchase of Services","2","Revenue","2016","General Operating Fund","Repair and Maintenance Charges","260","141545"
"Purchase of Services","2","Revenue","2016","General Operating Fund","Maint/support-computr Hardware/soft","266","1600"
"Purchase of Services","2","Revenue","2016","General Operating Fund","Witness Fees","277","100"
"Purchase of Services","2","Revenue","2016","General Operating Fund","Rents","285","23250"
"Materials and Supplies","3","Revenue","2016","General Operating Fund","Books and Other Publications","304","23900"
"Materials and Supplies","3","Revenue","2016","General Operating Fund","Building and Construction","305","1000"
"Materials and Supplies","3","Revenue","2016","General Operating Fund","Dry Goods/notions/wearing Apparel","308","1430"
"Materials and Supplies","3","Revenue","2016","General Operating Fund","Electrical and Communication","310","200"
"Materials and Supplies","3","Revenue","2016","General Operating Fund","General Hardware and Minor Tools","316","500"
"Materials and Supplies","3","Revenue","2016","General Operating Fund","Hospital and Laboratory","317","60"
"Materials and Supplies","3","Revenue","2016","General Operating Fund","Janitorial, Laundry and Household","318","1576"
